"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month"
2014-01-26,283,269,"SerieClub","21",0.05,98,30,0,3,1
2014-01-26,985,2895,"M6","21",4.79,4957.2,20,0,3,1
2014-01-26,245,900,"Teva","22",0.38,196.02,20,0,3,1
2014-01-26,123,119,"ParisPremiere","23",0.15,76.14,20,0,3,1
2014-01-27,48,47,"ParisPremiere","7",0.01,4.86,20,1,4,1
2014-01-27,38,64,"ParisPremiere","7",0.01,4.86,20,1,4,1
2014-01-27,78,77,"Teva","8",0.05,24.3,20,1,4,1
2014-01-27,114,166,"SerieClub","9",0.02,16.2,20,1,4,1
2014-01-27,134,131,"SerieClub","9",0.05,27.6,20,1,4,1
2014-01-27,186,582,"M6","10",0.39,174.96,20,1,4,1
2014-01-27,150,190,"SerieClub","11",0.07,16.2,20,1,4,1
2014-01-27,160,1109,"M6","11",0.21,379.08,20,1,4,1
2014-01-27,179,196,"Teva","11",0.04,144.18,20,1,4,1
2014-01-27,150,146,"SerieClub","11",0.07,16.2,20,1,4,1
2014-01-27,128,250,"Teva","12",0.05,213.84,20,1,4,1
2014-01-27,234,1368,"M6","12",1.53,874.8,20,1,4,1
2014-01-27,219,390,"Teva","12",0.08,244.62,20,1,4,1
2014-01-27,182,182,"ParisPremiere","13",0.05,22.68,20,1,4,1
2014-01-27,168,1625,"M6","13",2.81,1312.2,20,1,4,1
2014-01-27,212,1512,"M6","14",4.59,1312.2,20,1,4,1
2014-01-27,218,211,"SerieClub","14",0.04,45.4,20,1,4,1
2014-01-27,194,171,"SerieClub","16",0.15,51.8,20,1,4,1
2014-01-27,183,242,"Teva","16",0.11,63.18,20,1,4,1
2014-01-27,189,2609,"M6","17",2.8,991.44,20,1,4,1
2014-01-27,273,229,"SerieClub","17",0.12,92,30,1,4,1
2014-01-27,332,446,"Teva","18",0,184,30,1,4,1
2014-01-27,254,2060,"M6","18",4.54,1676.7,20,1,4,1
2014-01-27,264,263,"ParisPremiere","19",0.19,102.06,20,1,4,1
2014-01-27,251,199,"ParisPremiere","19",0.13,114,30,1,4,1
2014-01-27,277,297,"ParisPremiere","20",0.06,112,30,1,4,1
2014-01-27,261,2845,"M6","20",7.72,6123.6,20,1,4,1
2014-01-27,390,370,"SerieClub","20",0.08,84.2,20,1,4,1
2014-01-27,312,3405,"M6","20",4.88,6998.4,20,1,4,1
2014-01-27,205,242,"SerieClub","21",0,79.4,20,1,4,1
2014-01-27,227,560,"Teva","22",0.29,308,30,1,4,1
2014-01-27,13,91,"M6","25",0.09,432,30,1,4,1
2014-01-28,47,50,"ParisPremiere","7",0,4.86,20,2,4,1
2014-01-28,77,64,"ParisPremiere","8",0,6,30,2,4,1
2014-01-28,105,105,"Teva","8",0.04,32.4,20,2,4,1
2014-01-28,101,117,"SerieClub","9",0.05,18,30,2,4,1
2014-01-28,173,616,"M6","10",0.41,216,30,2,4,1
2014-01-28,187,236,"Teva","11",0.03,102.06,20,2,4,1
2014-01-28,376,722,"M6","11",0.24,379.08,20,2,4,1
2014-01-28,199,1363,"M6","12",1.13,801.9,20,2,4,1
2014-01-28,215,382,"Teva","13",0.05,334,30,2,4,1
2014-01-28,247,526,"Teva","13",0.06,241.38,20,2,4,1
2014-01-28,202,325,"Teva","14",0.08,108.54,20,2,4,1
2014-01-28,198,2147,"M6","14",4.77,1312.2,20,2,4,1
2014-01-28,235,198,"SerieClub","14",0.08,35.6,20,2,4,1
2014-01-28,186,307,"Teva","16",0,66.42,20,2,4,1
2014-01-28,566,1878,"M6","17",3.19,991.44,20,2,4,1
2014-01-28,373,400,"SerieClub","17",0.16,64,30,2,4,1
2014-01-28,323,1889,"M6","18",3.8,1385.1,20,2,4,1
2014-01-28,284,2405,"M6","18",4.45,2070,30,2,4,1
2014-01-28,245,1825,"M6","19",5.71,2187,20,2,4,1
2014-01-28,386,303,"ParisPremiere","19",0.14,108,30,2,4,1
2014-01-28,254,288,"SerieClub","19",0.1,60,20,2,4,1
2014-01-28,241,279,"ParisPremiere","22",0.38,153.9,20,2,4,1
2014-01-28,192,2190,"M6","22",5.01,4957.2,20,2,4,1
2014-01-29,76,64,"Teva","7",0.01,14.58,20,3,4,1
2014-01-29,79,82,"ParisPremiere","7",0.01,4.86,20,3,4,1
2014-01-29,77,82,"ParisPremiere","7",0.01,4.86,20,3,4,1
2014-01-29,111,152,"Teva","8",0.02,21.06,20,3,4,1
2014-01-29,114,149,"Teva","8",0.08,61.56,20,3,4,1
2014-01-29,149,151,"SerieClub","9",0.03,11.4,20,3,4,1
2014-01-29,174,201,"SerieClub","9",0.06,21,20,3,4,1
2014-01-29,191,698,"M6","10",0.42,174.96,20,3,4,1
2014-01-29,182,267,"Teva","11",0.04,113.4,20,3,4,1
2014-01-29,199,929,"M6","11",0.17,379.08,20,3,4,1
2014-01-29,292,262,"Teva","11",0.03,165.24,20,3,4,1
2014-01-29,162,156,"SerieClub","11",0.05,11.4,20,3,4,1
2014-01-29,148,274,"Teva","11",0.04,223.56,20,3,4,1
2014-01-29,375,954,"M6","12",0.99,874.8,20,3,4,1
2014-01-29,196,144,"ParisPremiere","12",0.01,22.68,20,3,4,1
2014-01-29,249,743,"M6","12",0.88,801.9,20,3,4,1
2014-01-29,305,283,"Teva","13",0.06,139.32,20,3,4,1
2014-01-29,557,1461,"M6","14",5.26,1620,30,3,4,1
2014-01-29,229,230,"SerieClub","14",0.11,32.4,20,3,4,1
2014-01-29,233,2313,"M6","14",4.82,1620,30,3,4,1
2014-01-29,311,293,"Teva","15",0.07,139.32,20,3,4,1
2014-01-29,487,997,"M6","15",3.89,903.96,20,3,4,1
2014-01-29,249,269,"SerieClub","16",0.16,53.4,20,3,4,1
2014-01-29,216,211,"SerieClub","16",0.15,47,20,3,4,1
2014-01-29,283,3858,"M6","17",3.43,1350,30,3,4,1
2014-01-29,413,512,"ParisPremiere","17",0.19,98.82,20,3,4,1
2014-01-29,522,411,"SerieClub","17",0.18,80,30,3,4,1
2014-01-29,424,412,"Teva","17",0.06,148,30,3,4,1
2014-01-29,630,1481,"M6","18",3.06,1710,30,3,4,1
2014-01-29,276,414,"Teva","19",0.02,206,30,3,4,1
2014-01-29,658,1325,"M6","19",4.12,2187,20,3,4,1
2014-01-29,258,274,"ParisPremiere","19",0.14,170,30,3,4,1
2014-01-29,258,3154,"M6","20",7.99,7560,30,3,4,1
2014-01-29,596,388,"SerieClub","20",0.12,68,20,3,4,1
2014-01-29,586,390,"SerieClub","21",0.07,48,30,3,4,1
2014-01-29,318,451,"Teva","21",0.17,290,30,3,4,1
2014-01-29,500,4644,"M6","21",4.82,6840,30,3,4,1
2014-01-29,136,216,"ParisPremiere","22",0.13,186,30,3,4,1
2014-01-29,133,2055,"M6","23",2.8,3600,30,3,4,1
2014-01-30,64,75,"Teva","7",0.02,4.86,20,4,4,1
2014-01-30,73,86,"ParisPremiere","7",0.02,4.86,20,4,4,1
2014-01-30,85,86,"ParisPremiere","7",0,6,30,4,4,1
2014-01-30,156,118,"SerieClub","8",0.03,11.4,20,4,4,1
2014-01-30,157,196,"SerieClub","9",0.06,14.6,20,4,4,1
2014-01-30,184,181,"SerieClub","9",0.07,16.2,20,4,4,1
2014-01-30,157,913,"M6","10",0.68,216,30,4,4,1
2014-01-30,199,207,"SerieClub","11",0.07,16.2,20,4,4,1
2014-01-30,178,233,"Teva","11",0.01,102.06,20,4,4,1
2014-01-30,149,330,"Teva","12",0.06,223.56,20,4,4,1
2014-01-30,398,1363,"M6","14",3.49,1312.2,20,4,4,1
2014-01-30,234,218,"SerieClub","15",0.11,38.8,20,4,4,1
2014-01-30,225,245,"SerieClub","15",0.12,47,20,4,4,1
2014-01-30,220,223,"Teva","16",0.06,79.38,20,4,4,1
2014-01-30,197,222,"SerieClub","16",0.12,40.6,20,4,4,1
2014-01-30,673,2329,"M6","17",2.13,991.44,20,4,4,1
2014-01-30,295,339,"Teva","17",0,122,30,4,4,1
2014-01-30,291,329,"SerieClub","17",0.2,78,30,4,4,1
2014-01-30,295,262,"SerieClub","18",0.09,68,30,4,4,1
2014-01-30,277,279,"Teva","19",0,155.52,20,4,4,1
2014-01-30,206,1711,"M6","19",5.04,2700,30,4,4,1
2014-01-30,584,362,"ParisPremiere","19",0.19,114,30,4,4,1
2014-01-30,279,284,"ParisPremiere","20",0.1,180,30,4,4,1
2014-01-30,214,3399,"M6","20",10.14,7290,20,4,4,1
2014-01-30,315,462,"Teva","22",0.22,470,30,4,4,1
2014-01-30,289,275,"ParisPremiere","22",0.36,278.64,20,4,4,1
2014-01-31,34,35,"ParisPremiere","7",0,4.86,20,5,4,1
2014-01-31,72,97,"ParisPremiere","7",0,6,30,5,4,1
2014-01-31,153,133,"SerieClub","9",0.03,17.8,20,5,4,1
2014-01-31,132,216,"SerieClub","9",0.03,14.6,20,5,4,1
2014-01-31,167,646,"M6","10",0.02,174.96,20,5,4,1
2014-01-31,172,192,"Teva","11",0.05,110.16,20,5,4,1
2014-01-31,172,677,"M6","11",0.22,379.08,20,5,4,1
2014-01-31,156,165,"Teva","11",0.03,187.92,20,5,4,1
2014-01-31,138,183,"SerieClub","11",0.06,11.4,20,5,4,1
2014-01-31,146,203,"Teva","12",0.03,239.76,20,5,4,1
2014-01-31,309,913,"M6","12",1.07,874.8,20,5,4,1
2014-01-31,551,220,"SerieClub","13",0.05,16.2,20,5,4,1
2014-01-31,280,314,"Teva","13",0.04,255.96,20,5,4,1
2014-01-31,179,303,"Teva","13",0.05,115.02,20,5,4,1
2014-01-31,226,211,"SerieClub","13",0.1,28,30,5,4,1
2014-01-31,182,210,"ParisPremiere","14",0.31,58.32,20,5,4,1
2014-01-31,188,1155,"M6","14",4.22,1312.2,20,5,4,1
2014-01-31,201,205,"SerieClub","14",0.1,22.6,20,5,4,1
2014-01-31,393,1038,"M6","14",4.32,1620,30,5,4,1
2014-01-31,149,164,"SerieClub","16",0.13,26,20,5,4,1
2014-01-31,253,1928,"M6","16",2.51,1224,30,5,4,1
2014-01-31,301,3041,"M6","17",2.39,1350,30,5,4,1
2014-01-31,332,316,"SerieClub","17",0.12,70,30,5,4,1
2014-01-31,287,327,"ParisPremiere","18",0.15,66.42,20,5,4,1
2014-01-31,266,408,"Teva","18",0.02,142,30,5,4,1
2014-01-31,803,1332,"M6","19",4.68,2187,20,5,4,1
2014-01-31,370,260,"ParisPremiere","19",0.14,92.34,20,5,4,1
2014-01-31,206,1953,"M6","20",6.86,6123.6,20,5,4,1
2014-01-31,287,3304,"M6","20",10.61,8640,30,5,4,1
2014-01-31,299,481,"Teva","21",0.17,181.44,20,5,4,1
2014-01-31,302,271,"SerieClub","21",0.07,27.6,20,5,4,1
2014-01-31,237,617,"Teva","21",0.18,250,30,5,4,1
2014-01-31,145,182,"ParisPremiere","22",0.33,119.88,20,5,4,1
2014-01-31,142,154,"ParisPremiere","22",0.33,119.88,20,5,4,1
2014-01-31,134,2386,"M6","23",9.21,8640,30,5,4,1
2014-01-31,129,1122,"M6","23",5.41,2880,30,5,4,1
2014-02-01,31,44,"ParisPremiere","7",0,6,30,6,4,2
2014-02-01,50,46,"ParisPremiere","7",0,6,30,6,4,2
2014-02-01,125,179,"SerieClub","9",0.08,19.4,20,6,4,2
2014-02-01,145,160,"SerieClub","9",0.1,22.6,20,6,4,2
2014-02-01,163,159,"SerieClub","9",0.09,40,30,6,4,2
2014-02-01,152,192,"SerieClub","10",0.08,38,30,6,4,2
2014-02-01,174,299,"M6","10",0.67,180,30,6,4,2
2014-02-01,176,189,"SerieClub","11",0.05,28,30,6,4,2
2014-02-01,156,168,"SerieClub","11",0.03,21,20,6,4,2
2014-02-01,158,250,"Teva","12",0.1,108.54,20,6,4,2
2014-02-01,134,636,"M6","12",0.18,699.84,20,6,4,2
2014-02-01,145,239,"Teva","13",0.1,108.54,20,6,4,2
