Date,Chaine,Ecran,Version,Diff,Heure,GRP,BudgetNet,Format,Avant-Visites,Apres-Visites,TAv,EmAv,TAp,EmAp,DAYPART,weekday_weekend
2014-01-20,Teva,1421,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,14:58:37,14,"0,13","103,68",20,428,345,AB,19E EPOUSE (LA),AB,19E EPOUSE (LA),DAY,WD
2014-01-20,SerieClub,1521,version de base,15:10:38,15,"0,13","56,8",20,104,138,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WD
2014-01-20,SerieClub,1601,version de base,15:31:51,15,"0,15","51,8",20,136,124,AC,PREUVE A L'APPUI,AC,NEW YORK 911,DAY,WD
2014-01-20,SerieClub,1611,version de base,15:58:15,15,"0,15","51,8",20,138,131,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-20,SerieClub,1701,version de base,16:43:39,16,"0,11",58,30,102,103,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-20,M6,1640,COEUR DES FEMMES 30'' v1,17:04:34,17,"2,98",1224,30,156,3900,CBB,LES REINES DU SHOPPING,CBB,LES REINES DU SHOPPING,DAY,WD
2014-01-20,Teva,1801,COEUR DES FEMMES 30'' v1,17:37:57,17,"0,01",150,30,456,629,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-20,SerieClub,1821,version de base,17:46:31,17,"0,12",92,30,302,278,AC,NEW YORK 911,AC,EUREKA,DAY,WD
2014-01-20,M6,1830,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,18:09:57,18,"4,34","1385,1",20,270,2244,CBA,UN DINER PRESQUE PARFAIT,CBA,UN DINER PRESQUE PARFAIT,DAY,WD
2014-01-20,Teva,1841,COEUR DES FEMMES 30'' v1,18:19:54,18,0,184,30,282,497,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,ACCESS,WD
2014-01-20,ParisPremiere,1841,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,18:28:33,18,"0,19","102,06",20,256,278,ACC,CODE QUANTUM:LORRAINE - 10 NOVEMBRE,ACC,CODE QUANTUM:LORRAINE - 10 NOVEMBRE,ACCESS,WD
2014-01-20,M6,1900,EFFET SCULPTANT LA FEMME 20'' v1,18:40:16,18,"5,03","1676,7",20,1004,2227,CBA,UN DINER PRESQUE PARFAIT,CBA,UN DINER PRESQUE PARFAIT,ACCESS,WD
2014-01-20,ParisPremiere,1921,COEUR DES FEMMES 30'' v1,19:14:16,19,"0,13",114,30,174,252,ACC,CODE QUANTUM:LA MEGERE ET LE MARIN,ACC,CODE QUANTUM:LA MEGERE ET LE MARIN,ACCESS,WD
2014-01-20,SerieClub,1941,version de base,19:35:19,19,"0,1",60,20,168,193,AC,EUREKA,AC,EUREKA,ACCESS,WD
2014-01-20,Teva,1941,EFFET SCULPTANT LA FEMME 20'' v1,19:45:40,19,"0,01","168,48",20,156,373,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,ACCESS,WD
2014-01-20,SerieClub,2031,version de base,20:20:44,20,"0,08","84,2",20,164,132,AC,EUREKA,AC,EUREKA,ACCESS,WD
2014-01-20,M6,2040,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,20:49:27,20,"7,15",7290,20,420,3525,ACB,SCENES DE MENAGES,EBJ,UNE MINUTE POUR LA SECURITE ROUTIER,PEAK,WD
2014-01-20,SerieClub,2131,version de base,21:11:42,21,0,"79,4",20,192,147,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,PEAK,WD
2014-01-20,Teva,2141,COEUR DES FEMMES 30'' v1,21:19:15,21,"0,28",358,30,172,419,AA,BLEU D'ENFER,AA,BLEU D'ENFER,PEAK,WD
2014-01-20,SerieClub,2141,version de base,21:39:51,21,0,"79,4",20,156,141,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,PEAK,WD
2014-01-20,Teva,2151,COEUR DES FEMMES 30'' v1,21:57:02,21,"0,29",308,30,266,353,AA,BLEU D'ENFER,AA,BLEU D'ENFER,PEAK,WD
2014-01-21,ParisPremiere,721,EFFET SCULPTANT LA FEMME 20'' v1,07:03:25,7,0,"4,86",20,22,24,EBL,INTERIEURS,EBL,INTERIEURS,PEAK,WD
2014-01-21,ParisPremiere,751,COEUR DES FEMMES 30'' v1,07:54:31,7,0,6,30,30,41,EBF,HOTELS DU MONDE,EBP,A L AFFICHE - LA SELECTION PARIS PR,DAY,WD
2014-01-21,SerieClub,851,version de base,08:50:44,8,"0,05",18,30,66,54,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-21,SerieClub,921,version de base,09:19:37,9,"0,04",13,20,72,88,AC,FAMILLE D'ACCUEIL,AC,NEW YORK 911,DAY,WD
2014-01-21,SerieClub,951,version de base,09:51:00,9,"0,04","17,8",20,70,66,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-21,M6,1015,EFFET SCULPTANT LA FEMME 20'' v1,10:33:56,10,"0,18","174,96",20,110,944,CBB,LES REINES DU SHOPPING,CBB,LES REINES DU SHOPPING,DAY,WD
2014-01-21,Teva,1211,COEUR DES FEMMES 30'' v1,11:45:11,11,"0,03",212,30,92,138,AB,RENDEZ-VOUS INTERDITS,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-21,SerieClub,1211,version de base,12:02:10,12,"0,05","11,4",20,70,79,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-21,SerieClub,1251,version de base,12:43:31,12,"0,05","14,6",20,110,123,AC,FAMILLE D'ACCUEIL,EB,"UN GARS, UNE FILLE",DAY,WD
2014-01-21,Teva,1301,COEUR DES FEMMES 30'' v1,13:03:06,13,"0,05",334,30,220,306,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-21,SerieClub,1341,version de base,13:27:45,13,"0,02","14,6",20,602,273,EB,"UN GARS, UNE FILLE",AC,PREUVE A L'APPUI,DAY,WD
2014-01-21,Teva,1321,EFFET SCULPTANT LA FEMME 20'' v1,13:35:59,13,"0,06","241,38",20,196,450,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-21,SerieClub,1401,version de base,13:52:15,13,"0,06","27,6",20,182,182,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WD
2014-01-21,Teva,1411,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,13:58:42,13,"0,08","108,54",20,166,254,AC,DESPERATE HOUSEWIVES,AB,SERPENT DE SEPTEMBRE (LE),DAY,WD
2014-01-21,SerieClub,1451,version de base,14:31:15,14,"0,08","35,6",20,196,152,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WD
2014-01-21,ParisPremiere,1421,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,14:54:01,14,"0,3","77,76",20,136,134,ACA,AMICALEMENT VOTRE:UN RISQUE CALCULE,ACA,AMICALEMENT VOTRE:UN RISQUE CALCULE,DAY,WD
2014-01-21,ParisPremiere,1511,EFFET SCULPTANT LA FEMME 20'' v1,15:29:54,15,"0,29",81,20,90,114,ACA,AMICALEMENT VOTRE:LE MOT DE PASSE,ACA,AMICALEMENT VOTRE:LE MOT DE PASSE,DAY,WD
2014-01-21,SerieClub,1601,version de base,15:35:17,15,"0,17","45,4",20,112,156,AC,PREUVE A L'APPUI,AC,NEW YORK 911,DAY,WD
2014-01-21,M6,1515,EFFET SCULPTANT LA FEMME 20'' v1,15:46:35,15,"3,36","903,96",20,146,1403,ABB,UNE VIE DE MENSONGES,EBD,PLUS VITE QUE LA MUSIQUE:AMEL BENT,DAY,WD
2014-01-21,SerieClub,1611,version de base,16:05:33,16,"0,17","45,4",20,136,127,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-21,SerieClub,1821,version de base,17:50:20,17,"0,16",64,30,254,219,AC,NEW YORK 911,AC,EUREKA,DAY,WD
2014-01-21,M6,1830,COEUR DES FEMMES 30'' v1,18:10:01,18,"3,08",1710,30,1244,2040,CBA,UN DINER PRESQUE PARFAIT,CBA,UN DINER PRESQUE PARFAIT,DAY,WD
2014-01-21,SerieClub,1921,version de base,18:57:08,18,"0,09","56,8",20,148,155,AC,EUREKA,AC,EUREKA,ACCESS,WD
2014-01-21,M6,1930,EFFET SCULPTANT LA FEMME 20'' v1,19:16:28,19,"4,22",2187,20,220,2000,DDB,100 POUR 100 MAG:REPORTAGE:ENQUETE,DDB,100 POUR 100 MAG:REPORTAGE:100 POUR,ACCESS,WD
2014-01-21,ParisPremiere,2021,COEUR DES FEMMES 30'' v1,19:51:19,19,"0,1",172,30,158,194,ACB,KAAMELOTT:LES PIONNIERS,ACB,KAAMELOTT:LE DESTITUE,ACCESS,WD
2014-01-21,Teva,2051,COEUR DES FEMMES 30'' v1,20:39:24,20,"0,14",402,30,312,285,J,FEMMES EN OR 2013 (LES),EA,MAISON A VENDRE,ACCESS,WD
2014-01-21,SerieClub,2051,version de base,20:48:23,20,"0,08","53,4",20,218,254,AC,EUREKA,AC,STARGATE SG-1,PEAK,WD
2014-01-21,M6,2050,EFFET SCULPTANT LA FEMME 20'' v1,20:55:32,20,"5,66","5540,4",20,242,2647,EBJ,UNE MINUTE POUR LA SECURITE ROUTIER,AAD,STAR WARS EPISODE 3 LA REVANCHE DES,PEAK,WD
2014-01-21,SerieClub,2131,version de base,21:12:03,21,"0,05",62,30,202,188,AC,STARGATE SG-1,AC,STARGATE SG-1,PEAK,WD
2014-01-21,Teva,2151,COEUR DES FEMMES 30'' v1,22:00:26,22,"0,19",514,30,134,462,EA,MAISON A VENDRE,EA,MAISON A VENDRE,PEAK,WD
2014-01-21,ParisPremiere,2211,EFFET SCULPTANT LA FEMME 20'' v1,22:17:49,22,"0,38","153,9",20,132,307,AAB,L ATTAQUE DU METRO 123,AAB,L ATTAQUE DU METRO 123,NIGHT,WD
2014-01-22,ParisPremiere,721,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,07:33:37,7,"0,01","4,86",20,44,36,EBL,INTERIEURS,EBL,INTERIEURS,NIGHT,WD
2014-01-22,ParisPremiere,751,EFFET SCULPTANT LA FEMME 20'' v1,07:55:46,7,"0,01","4,86",20,42,47,EBL,INTERIEURS,EBP,A L AFFICHE - LA SELECTION PARIS PR,DAY,WD
2014-01-22,SerieClub,851,version de base,09:13:35,9,"0,03","11,4",20,72,85,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-22,SerieClub,951,version de base,09:51:00,9,"0,06",21,20,94,103,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-22,M6,1120,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,11:17:00,11,"0,85","379,08",20,96,1042,ACB,DROP DEAD DIVA:RESURRECTION,ACB,DROP DEAD DIVA:RESURRECTION,DAY,WD
2014-01-22,Teva,1211,COEUR DES FEMMES 30'' v1,11:39:35,11,"0,03",204,30,116,143,AC,ALI BABA ET LES 40 VOLEURS (PARTIE,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-22,SerieClub,1211,version de base,11:52:06,11,"0,05","11,4",20,112,100,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-22,M6,1230,COEUR DES FEMMES 30'' v1,12:02:07,12,"0,64",1080,30,842,1466,ACB,DROP DEAD DIVA:LA VRAIE JANE,ACB,DROP DEAD DIVA:LA VRAIE JANE,DAY,WD
2014-01-22,Teva,1231,EFFET SCULPTANT LA FEMME 20'' v1,12:11:43,12,"0,04","223,56",20,156,236,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-22,M6,1240,COEUR DES FEMMES 30'' v1,12:38:22,12,1,990,30,188,1124,ACB,DROP DEAD DIVA:LA VRAIE JANE,EBD,PLUS VITE QUE LA MUSIQUE:AMEL BENT,DAY,WD
2014-01-22,Teva,1301,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,12:46:55,12,"0,05","254,34",20,224,336,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-22,Teva,1321,COEUR DES FEMMES 30'' v1,13:15:47,13,"0,05",320,30,178,584,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-22,SerieClub,1451,version de base,14:38:09,14,"0,11","32,4",20,244,173,AC,PREUVE A L'APPUI,AC,PREUVE A L'APPUI,DAY,WD
2014-01-22,M6,1440,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,14:55:26,14,"3,83","1312,2",20,344,2339,ABA,OPERATION CUPCAKE,ABA,OPERATION CUPCAKE,DAY,WD
2014-01-22,M6,1515,COEUR DES FEMMES 30'' v1,15:45:14,15,"3,51",1116,30,424,1273,ABA,OPERATION CUPCAKE,EBD,PLUS VITE QUE LA MUSIQUE:INDILA,DAY,WD
2014-01-22,SerieClub,1611,version de base,16:09:00,16,"0,16","53,4",20,202,190,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-22,ParisPremiere,1721,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,16:40:32,16,"0,19","98,82",20,198,171,ACC,CODE QUANTUM:L OURAGAN - 17 AOUT 19,ACC,CODE QUANTUM:L OURAGAN - 17 AOUT 19,DAY,WD
2014-01-22,SerieClub,1701,version de base,16:54:25,16,"0,15",47,20,174,159,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-22,M6,1640,COEUR DES FEMMES 30'' v1,17:05:15,17,"2,09",1224,30,812,4558,CBB,LES REINES DU SHOPPING,CBB,LES REINES DU SHOPPING,DAY,WD
2014-01-22,SerieClub,1821,version de base,17:51:00,17,"0,18",80,30,272,224,AC,NEW YORK 911,AC,EUREKA,DAY,WD
2014-01-22,M6,1900,COEUR DES FEMMES 30'' v1,18:43:18,18,"3,95",2070,30,432,2525,CBA,UN DINER PRESQUE PARFAIT,CBA,UN DINER PRESQUE PARFAIT,DAY,WD
2014-01-22,M6,1930,EFFET SCULPTANT LA FEMME 20'' v1,19:24:17,19,"5,21",2187,20,768,2025,DDB,100 POUR 100 MAG:REPORTAGE:100 POUR,DDB,100 POUR 100 MAG:REPORTAGE:PEOPLE S,ACCESS,WD
2014-01-22,ParisPremiere,2021,COEUR DES FEMMES 30'' v1,20:11:02,20,"0,09",176,30,178,239,ACB,KAAMELOTT:ANTON,ACB,KAAMELOTT:LES ITINERANTS,ACCESS,WD
2014-01-22,SerieClub,2031,version de base,20:28:46,20,"0,12",68,20,142,184,AC,EUREKA,AC,EUREKA,PEAK,WD
2014-01-22,M6,2045,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,20:55:11,20,"5,64","6123,6",20,2352,2903,EBJ,UNE MINUTE POUR LA SECURITE ROUTIER,EAL,RECHERCHE APPARTEMENT OU MAISON,PEAK,WD
2014-01-22,SerieClub,2131,version de base,21:06:59,21,"0,07",48,30,244,241,AC,NIH : ALERTES MEDICALES,AC,NIH : ALERTES MEDICALES,PEAK,WD
2014-01-22,Teva,2141,COEUR DES FEMMES 30'' v1,21:14:55,21,"0,17",290,30,206,442,EA,RELOOKING EXTREME : SPECIAL OBESITE,EA,RELOOKING EXTREME : SPECIAL OBESITE,PEAK,WD
2014-01-22,SerieClub,2141,version de base,21:41:57,21,"0,07",48,30,146,157,AC,NIH : ALERTES MEDICALES,AC,NIH : ALERTES MEDICALES,PEAK,WD
2014-01-22,Teva,2151,COEUR DES FEMMES 30'' v1,21:51:32,21,"0,18",256,30,146,409,EA,RELOOKING EXTREME : SPECIAL OBESITE,EA,RELOOKING EXTREME : SPECIAL OBESITE,PEAK,WD
2014-01-22,M6,2160,COEUR DES FEMMES 30'' v1,21:57:14,21,"6,6",8280,30,1184,6361,EAL,RECHERCHE APPARTEMENT OU MAISON,EAL,RECHERCHE APPARTEMENT OU MAISON,PEAK,WD
2014-01-23,ParisPremiere,751,COEUR DES FEMMES 30'' v1,07:55:04,7,0,6,30,60,67,EBL,TRES TRES BON,EBP,A L AFFICHE - LA SELECTION PARIS PR,PEAK,WD
2014-01-23,SerieClub,851,version de base,08:52:30,8,"0,03","11,4",20,80,72,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-23,SerieClub,921,version de base,09:21:00,9,"0,06","14,6",20,106,121,AC,FAMILLE D'ACCUEIL,AC,NEW YORK 911,DAY,WD
2014-01-23,SerieClub,1001,version de base,10:00:59,10,"0,07","16,2",20,110,120,AC,NEW YORK 911,AC,NEW YORK 911,DAY,WD
2014-01-23,M6,1015,EFFET SCULPTANT LA FEMME 20'' v1,10:41:00,10,"0,46","174,96",20,164,958,CBB,LES REINES DU SHOPPING,CBB,LES REINES DU SHOPPING,DAY,WD
2014-01-23,SerieClub,1041,version de base,11:05:58,11,"0,07","16,2",20,172,163,AC,NEW YORK 911,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-23,SerieClub,1211,version de base,11:51:11,11,"0,05","17,8",20,116,114,AC,FAMILLE D'ACCUEIL,AC,FAMILLE D'ACCUEIL,DAY,WD
2014-01-23,Teva,1231,EFFET SCULPTANT LA FEMME 20'' v1,12:16:56,12,"0,06","223,56",20,82,252,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
2014-01-23,M6,1230,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,12:23:44,12,"1,19","874,8",20,114,2030,ACB,DROP DEAD DIVA:JAMAIS PLUS COMME AV,ACB,DROP DEAD DIVA:JAMAIS PLUS COMME AV,DAY,WD
2014-01-23,M6,1250,EFFET SCULPTANT LA FEMME 20'' v1,12:45:17,12,"1,31","831,06",20,584,1134,EBJ,4 JEUNES 1 VOITURE,DG,METEO 6,DAY,WD
2014-01-23,Teva,1301,DOUBLE PROFONDEUR DE BONNET LA TERRASSE 20'' v1,13:03:54,13,"0,08","251,1",20,158,413,AC,DESPERATE HOUSEWIVES,AC,DESPERATE HOUSEWIVES,DAY,WD
