date,datetime,Visites_by_hour
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,3
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,2
01/03/2014,01/03/2014 04,2
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,2
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,0
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 04,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,2
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,2
01/03/2014,01/03/2014 05,4
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,2
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,3
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,2
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,3
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,3
01/03/2014,01/03/2014 05,3
01/03/2014,01/03/2014 05,0
01/03/2014,01/03/2014 05,2
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 05,1
01/03/2014,01/03/2014 06,4
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,4
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,5
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,5
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,0
01/03/2014,01/03/2014 06,4
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,7
01/03/2014,01/03/2014 06,4
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,3
01/03/2014,01/03/2014 06,2
01/03/2014,01/03/2014 06,1
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 07,1
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 07,0
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 07,3
01/03/2014,01/03/2014 07,7
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 07,5
01/03/2014,01/03/2014 07,2
01/03/2014,01/03/2014 07,5
