"Date","Avant.Visites","Apres.Visites","Chaine","Heure","GRP","BudgetNet","Format","weekday","nthweek","month","TAv_TAp","TAv","DAYPART","weekday_weekend"
2014-01-21,136,134,"ParisPremiere",14,0.3,77.76,20,"2","03","01",1,"ACA","DAY","WD"
2014-01-21,90,114,"ParisPremiere",15,0.29,81,20,"2","03","01",1,"ACA","DAY","WD"
2014-01-21,112,156,"SerieClub",15,0.17,45.4,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,146,1403,"M6",15,3.36,903.96,20,"2","03","01",0,"ABB","DAY","WD"
2014-01-21,136,127,"SerieClub",16,0.17,45.4,20,"2","03","01",1,"AC","DAY","WD"
2014-01-21,254,219,"SerieClub",17,0.16,64,30,"2","03","01",1,"AC","DAY","WD"
2014-01-21,1244,2040,"M6",18,3.08,1710,30,"2","03","01",1,"CBA","DAY","WD"
2014-01-21,148,155,"SerieClub",18,0.09,56.8,20,"2","03","01",1,"AC","ACCESS","WD"
2014-01-21,220,2000,"M6",19,4.22,2187,20,"2","03","01",1,"DDB","ACCESS","WD"
2014-01-21,158,194,"ParisPremiere",19,0.1,172,30,"2","03","01",1,"ACB","ACCESS","WD"
2014-01-21,312,285,"Teva",20,0.14,402,30,"2","03","01",0,"J","ACCESS","WD"
2014-01-21,218,254,"SerieClub",20,0.08,53.4,20,"2","03","01",1,"AC","PEAK","WD"
2014-01-21,242,2647,"M6",20,5.66,5540.4,20,"2","03","01",0,"EBJ","PEAK","WD"
2014-01-21,202,188,"SerieClub",21,0.05,62,30,"2","03","01",1,"AC","PEAK","WD"
2014-01-21,134,462,"Teva",22,0.19,514,30,"2","03","01",1,"EA","PEAK","WD"
2014-01-21,132,307,"ParisPremiere",22,0.38,153.9,20,"2","03","01",1,"AAB","NIGHT","WD"
2014-01-22,44,36,"ParisPremiere",7,0.01,4.86,20,"3","03","01",1,"EBL","NIGHT","WD"
2014-01-22,42,47,"ParisPremiere",7,0.01,4.86,20,"3","03","01",0,"EBL","DAY","WD"
2014-01-22,72,85,"SerieClub",9,0.03,11.4,20,"3","03","01",1,"AC","DAY","WD"
